Sample,Period,RC,QR,CS,EP,WC,Average
259,2018 - I,2.0000,3.0000,1.6667,2.1111,2.5000,2.2556
260,2018 - I,2.3333,2.6667,2.6667,2.4444,1.2500,2.2722
261,2018 - I,2.6667,2.6667,2.6667,2.1111,1.2500,2.2722
262,2018 - I,2.6667,3.0000,2.0000,2.4444,1.2500,2.2722
263,2018 - I,2.6667,3.0000,2.6667,1.7778,1.2500,2.2722
264,2018 - I,2.3333,2.3333,3.3333,2.1111,1.2500,2.2722
265,2018 - I,2.0000,2.0000,4.0000,2.1111,1.2500,2.2722
266,2018 - I,3.3333,1.6667,2.3333,1.5556,2.5000,2.2778
267,2018 - I,3.3333,2.6667,2.6667,2.7778,0.0000,2.2889
268,2018 - I,2.6667,2.6667,2.0000,2.8889,1.2500,2.2944
269,2018 - I,2.6667,3.0000,2.6667,1.8889,1.2500,2.2944
270,2018 - I,1.6667,2.6667,2.6667,3.2222,1.2500,2.2944
271,2018 - I,3.0000,2.0000,3.6667,1.5556,1.2500,2.2944
272,2018 - I,2.3333,3.0000,3.0000,1.8889,1.2500,2.2944
273,2018 - I,2.3333,2.3333,3.0000,1.3333,2.5000,2.3000
274,2018 - I,3.0000,3.6667,3.0000,1.8889,0.0000,2.3111
275,2018 - I,2.3333,3.6667,3.6667,1.8889,0.0000,2.3111
276,2018 - I,2.6667,2.6667,2.3333,2.6667,1.2500,2.3167
277,2018 - I,2.3333,3.3333,2.3333,2.3333,1.2500,2.3167
278,2018 - I,3.3333,2.0000,2.6667,2.3333,1.2500,2.3167
279,2018 - I,2.6667,2.3333,3.3333,2.0000,1.2500,2.3167
280,2018 - I,2.3333,3.0000,3.3333,1.6667,1.2500,2.3167
281,2018 - I,3.3333,3.0000,2.3333,1.6667,1.2500,2.3167
282,2018 - I,2.0000,4.0000,2.3333,2.0000,1.2500,2.3167
283,2018 - I,3.3333,3.0000,1.0000,3.0000,1.2500,2.3167
284,2018 - I,2.0000,2.3333,3.0000,1.7778,2.5000,2.3222
285,2018 - I,3.3333,3.0000,3.3333,2.0000,0.0000,2.3333
286,2018 - I,3.0000,4.0000,1.6667,1.7778,1.2500,2.3389
287,2018 - I,2.6667,2.3333,3.0000,2.4444,1.2500,2.3389
288,2018 - I,2.0000,2.3333,3.6667,2.4444,1.2500,2.3389
289,2018 - I,3.3333,3.0000,3.0000,1.1111,1.2500,2.3389
290,2018 - I,3.0000,3.3333,3.0000,1.1111,1.2500,2.3389
291,2018 - I,1.3333,3.3333,1.6667,2.8889,2.5000,2.3444
292,2018 - I,3.0000,2.3333,2.6667,2.5556,1.2500,2.3611
293,2018 - I,2.6667,3.3333,2.6667,1.8889,1.2500,2.3611
294,2018 - I,2.6667,2.6667,3.3333,1.8889,1.2500,2.3611
295,2018 - I,3.3333,2.3333,3.0000,1.8889,1.2500,2.3611
296,2018 - I,3.3333,2.0000,2.0000,2.0000,2.5000,2.3667
297,2018 - I,3.0000,3.3333,3.0000,2.5556,0.0000,2.3778
298,2018 - I,3.0000,3.0000,2.6667,2.0000,1.2500,2.3833
299,2018 - I,2.3333,3.0000,2.3333,3.0000,1.2500,2.3833
300,2018 - I,2.3333,3.0000,2.3333,3.0000,1.2500,2.3833
301,2018 - I,3.3333,3.0000,2.3333,2.0000,1.2500,2.3833
302,2018 - I,3.0000,3.3333,2.0000,2.3333,1.2500,2.3833
303,2018 - I,2.6667,2.3333,2.3333,2.1111,2.5000,2.3889
304,2018 - I,2.6667,2.0000,2.3333,2.4444,2.5000,2.3889
305,2018 - I,3.0000,2.0000,2.3333,2.1111,2.5000,2.3889
306,2018 - I,3.3333,2.0000,2.6667,1.4444,2.5000,2.3889
307,2018 - I,2.0000,2.6667,1.3333,2.2222,3.7500,2.3944
308,2018 - I,2.6667,3.6667,3.3333,1.1111,1.2500,2.4056
309,2018 - I,3.0000,1.6667,3.0000,3.1111,1.2500,2.4056
310,2018 - I,3.3333,3.3333,1.6667,2.4444,1.2500,2.4056
311,2018 - I,3.3333,2.3333,2.3333,1.5556,2.5000,2.4111
312,2018 - I,3.0000,2.3333,2.3333,1.8889,2.5000,2.4111
313,2018 - I,1.6667,2.0000,3.6667,2.2222,2.5000,2.4111
314,2018 - I,3.0000,3.0000,2.6667,2.2222,1.2500,2.4278
315,2018 - I,2.6667,2.6667,3.3333,2.2222,1.2500,2.4278
316,2018 - I,3.3333,3.0000,2.0000,2.5556,1.2500,2.4278
317,2018 - I,2.6667,3.0000,3.3333,1.8889,1.2500,2.4278
318,2018 - I,3.0000,2.6667,3.3333,1.8889,1.2500,2.4278
319,2018 - I,3.6667,2.0000,2.3333,2.8889,1.2500,2.4278
320,2018 - I,3.3333,3.3333,2.6667,1.5556,1.2500,2.4278
321,2018 - I,2.0000,3.0000,3.0000,1.6667,2.5000,2.4333
322,2018 - I,3.3333,2.3333,2.3333,1.6667,2.5000,2.4333
323,2018 - I,2.6667,3.0000,3.0000,1.0000,2.5000,2.4333
324,2018 - I,2.6667,2.0000,2.6667,2.3333,2.5000,2.4333
325,2018 - I,4.0000,2.3333,0.3333,3.0000,2.5000,2.4333
326,2018 - I,3.0000,3.6667,2.6667,1.6667,1.2500,2.4500
327,2018 - I,3.0000,2.3333,3.0000,2.6667,1.2500,2.4500
328,2018 - I,3.0000,3.0000,2.6667,2.3333,1.2500,2.4500
329,2018 - I,3.0000,3.3333,2.6667,2.0000,1.2500,2.4500
330,2018 - I,2.3333,3.6667,2.6667,2.3333,1.2500,2.4500
331,2018 - I,3.6667,3.3333,2.3333,1.6667,1.2500,2.4500
332,2018 - I,4.3333,2.3333,2.0000,2.3333,1.2500,2.4500
333,2018 - I,2.0000,3.0000,3.0000,3.1111,1.2500,2.4722
334,2018 - I,2.0000,3.0000,3.3333,2.7778,1.2500,2.4722
335,2018 - I,2.3333,2.6667,3.6667,2.4444,1.2500,2.4722
336,2018 - I,2.6667,3.6667,2.6667,2.1111,1.2500,2.4722
337,2018 - I,3.0000,3.3333,3.0000,1.7778,1.2500,2.4722
338,2018 - I,3.3333,3.0000,3.0000,1.7778,1.2500,2.4722
339,2018 - I,3.6667,3.3333,2.3333,1.7778,1.2500,2.4722
340,2018 - I,2.3333,2.3333,2.6667,2.5556,2.5000,2.4778
341,2018 - I,3.0000,2.6667,3.0000,1.2222,2.5000,2.4778
342,2018 - I,3.0000,2.6667,3.6667,3.1111,0.0000,2.4889
343,2018 - I,0.6667,3.3333,1.6667,1.7778,5.0000,2.4889
344,2018 - I,2.3333,3.0000,2.6667,3.2222,1.2500,2.4944
345,2018 - I,2.3333,3.3333,2.6667,2.8889,1.2500,2.4944
346,2018 - I,3.3333,2.6667,3.0000,2.2222,1.2500,2.4944
347,2018 - I,2.6667,3.6667,2.6667,2.2222,1.2500,2.4944
348,2018 - I,2.0000,2.6667,3.6667,2.8889,1.2500,2.4944
349,2018 - I,2.0000,2.6667,3.6667,2.8889,1.2500,2.4944
350,2018 - I,1.6667,2.6667,3.6667,3.2222,1.2500,2.4944
351,2018 - I,3.3333,2.6667,2.3333,1.6667,2.5000,2.5000
352,2018 - I,3.6667,2.3333,2.3333,1.6667,2.5000,2.5000
353,2018 - I,2.6667,3.3333,3.0000,2.3333,1.2500,2.5167
354,2018 - I,3.0000,3.3333,2.3333,2.6667,1.2500,2.5167
355,2018 - I,2.6667,3.6667,2.6667,2.3333,1.2500,2.5167
356,2018 - I,3.3333,2.3333,3.3333,2.3333,1.2500,2.5167
357,2018 - I,2.3333,2.6667,2.6667,3.6667,1.2500,2.5167
358,2018 - I,2.3333,3.0000,3.6667,2.3333,1.2500,2.5167
359,2018 - I,3.0000,2.6667,3.6667,2.0000,1.2500,2.5167
360,2018 - I,3.3333,2.6667,3.6667,1.6667,1.2500,2.5167
361,2018 - I,3.6667,2.0000,3.6667,2.0000,1.2500,2.5167
362,2018 - I,2.6667,3.0000,3.3333,2.4444,1.2500,2.5389
363,2018 - I,3.3333,2.6667,3.0000,2.4444,1.2500,2.5389
364,2018 - I,3.0000,3.0000,3.3333,2.1111,1.2500,2.5389
365,2018 - I,2.6667,2.6667,3.0000,1.8889,2.5000,2.5444
